"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"262",11,"Nick Westbrook-Ikhine",MIA,"WR92","12","3 out of 5 stars","-","+2.5","50% (7/14)"
"263",11,"Audric Estime",DEN,"RB80","12","2 out of 5 stars","+35","-0.5","41% (5/12)"
"264",11,"Elijah Moore",BUF,"WR93","7","3 out of 5 stars","+70","-1.0","31% (5/16)"
"265",11,"Brandin Cooks",NO,"WR94","11","4 out of 5 stars","+68","-1.0","18% (2/11)"
"266",11,"Joshua Karty",LAR,"K14","8","2 out of 5 stars","0","+0.2","56% (9/16)"
"267",11,"Antonio Gibson",NE,"RB81","14","4 out of 5 stars","+12","-0.9","31% (5/16)"
"268",11,"Ty Johnson",BUF,"RB82","7","4 out of 5 stars","+43","+2.5","62% (10/16)"
"269",11,"Daniel Jones",IND,"QB31","11","3 out of 5 stars","-20","-1.8","40% (4/10)"
"270",11,"Devin Singletary",NYG,"RB83","14","3 out of 5 stars","+49","-1.3","35% (5/14)"
"271",11,"Noah Gray",KC,"TE32","10","3 out of 5 stars","+24","+2.1","68% (11/16)"
"272",11,"Matt Gay",WAS,"K15","12","3 out of 5 stars","-29","+1.2","73% (11/15)"
"273",11,"Malik Washington",MIA,"WR95","12","3 out of 5 stars","-","+0.4","45% (5/11)"
"274",11,"Jacory Croskey-Merritt",WAS,"RB84","12","2 out of 5 stars","-33","-","-"
"275",11,"Jordan James",SF,"RB85","14","3 out of 5 stars","+2","-","-"
"276",11,"Kayshon Boutte",NE,"WR96","14","3 out of 5 stars","+29","+1.2","53% (8/15)"
"277",11,"Cleveland Browns",CLE,"DST18","9","3 out of 5 stars","+1","-2.1","31% (5/16)"
"278",11,"Joe Flacco",CLE,"QB32","9","2 out of 5 stars","-20","-","-"
"279",11,"Theo Johnson",NYG,"TE33","14","2 out of 5 stars","+2","0.0","41% (5/12)"
"280",11,"Tre Tucker",LV,"WR97","8","4 out of 5 stars","+33","0.0","31% (5/16)"
"281",11,"Dameon Pierce",HOU,"RB86","6","2 out of 5 stars","+51","-0.3","20% (2/10)"
"282",11,"Harold Fannin Jr.",CLE,"TE34","9","3 out of 5 stars","+19","-","-"
"283",11,"Isaiah Davis",NYJ,"RB87","9","5 out of 5 stars","+53","+0.8","50% (4/8)"
"284",11,"Tyler Shough",NO,"QB33","11","5 out of 5 stars","-36","-","-"
"285",11,"Khalil Herbert",IND,"RB88","11","2 out of 5 stars","-","-1.7","15% (2/13)"
"286",11,"Jalen Nailor",MIN,"WR98","6","2 out of 5 stars","0","+0.9","43% (7/16)"
"287",11,"Tory Horton",SEA,"WR99","8","3 out of 5 stars","+10","-","-"
"288",11,"Tim Patrick",DET,"WR100","8","3 out of 5 stars","-","+0.7","53% (8/15)"
"289",11,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-52","+0.7","43% (7/16)"
"290",11,"Parker Washington",JAC,"WR101","8","4 out of 5 stars","-","+0.7","40% (6/15)"
"291",11,"Sincere McCormick",LV,"RB89","8","2 out of 5 stars","-","-0.7","75% (3/4)"
"292",11,"Darren Waller",MIA,"TE35","12","3 out of 5 stars","-95","-","-"
"293",11,"Kimani Vidal",LAC,"RB90","12","2 out of 5 stars","-","-1.6","11% (1/9)"
"294",11,"Amari Cooper",FA,"WR102","-","-","-14","-2.3","28% (4/14)"
"295",11,"Jaxson Dart",NYG,"QB34","14","1 out of 5 stars","-44","-","-"
"296",11,"Taysom Hill",NO,"TE36","11","3 out of 5 stars","+12","+4.6","50% (4/8)"
"297",11,"Dont'e Thornton Jr.",LV,"WR103","8","4 out of 5 stars","-69","-","-"
"298",11,"Terrance Ferguson",LAR,"TE37","8","4 out of 5 stars","-33","-","-"
"299",11,"Daniel Carlson",LV,"K16","8","3 out of 5 stars","-57","+1.5","56% (9/16)"
"300",11,"Luke McCaffrey",WAS,"WR104","12","3 out of 5 stars","+2","-1.8","25% (4/16)"
"301",12,"Xavier Restrepo",TEN,"WR105","10","4 out of 5 stars","+6","-","-"
"302",12,"Isaac TeSlaa",DET,"WR106","8","3 out of 5 stars","-26","-","-"
"303",12,"Noah Fant",CIN,"TE38","10","2 out of 5 stars","+6","-0.4","38% (5/13)"
"304",12,"Damien Martinez",SEA,"RB91","8","3 out of 5 stars","-","-","-"
"305",12,"Christian Watson",GB,"WR107","5","2 out of 5 stars","+21","-1.8","28% (4/14)"
"306",12,"Chris Brooks",GB,"RB92","5","4 out of 5 stars","-","+0.7","40% (4/10)"
"307",12,"Ty Chandler",MIN,"RB93","6","3 out of 5 stars","-","-1.5","25% (4/16)"
"308",12,"Emanuel Wilson",GB,"RB94","5","4 out of 5 stars","+20","+1.0","43% (7/16)"
"309",12,"Shedeur Sanders",CLE,"QB35","9","2 out of 5 stars","-116","-","-"
"310",12,"Chris Rodriguez Jr.",WAS,"RB95","12","2 out of 5 stars","-","+2.5","42% (3/7)"
"311",12,"Phil Mafah",DAL,"RB96","10","2 out of 5 stars","+20","-","-"
"312",12,"Jermaine Burton",CIN,"WR108","10","3 out of 5 stars","-2","-0.4","16% (2/12)"
"313",12,"Will Reichard",MIN,"K17","6","0 out of 5 stars","-56","+2.6","66% (8/12)"
"314",12,"Tez Johnson",TB,"WR109","9","3 out of 5 stars","-","-","-"
"315",12,"Raheim Sanders",LAC,"RB97","12","2 out of 5 stars","-","-","-"
"316",12,"Oronde Gadsden II",LAC,"TE39","12","3 out of 5 stars","+2","-","-"
"317",12,"Zack Moss",FA,"RB98","-","-","-32","-1.9","37% (3/8)"
"318",12,"Tyler Higbee",LAR,"TE40","8","4 out of 5 stars","-18","-","-"
"319",12,"Gabe Davis",FA,"WR110","-","-","-","-3.3","10% (1/10)"
"320",12,"Jason Myers",SEA,"K18","8","5 out of 5 stars","-","+0.7","56% (9/16)"
"321",12,"Zamir White",LV,"RB99","8","2 out of 5 stars","-","-4.3","12% (1/8)"
"322",12,"New England Patriots",NE,"DST20","14","4 out of 5 stars","-87","-1.3","25% (4/16)"
"323",12,"Ben Sinnott",WAS,"TE41","12","3 out of 5 stars","+6","-0.4","21% (3/14)"
"324",12,"Will Dissly",LAC,"TE42","12","3 out of 5 stars","-","-0.1","42% (6/14)"
"325",12,"Arizona Cardinals",ARI,"DST21","8","4 out of 5 stars","-79","-1.3","37% (6/16)"
"326",12,"Tutu Atwell",LAR,"WR111","8","3 out of 5 stars","-3","-","-"
"327",12,"Miami Dolphins",MIA,"DST22","12","2 out of 5 stars","-88","-1.9","31% (5/16)"
"328",12,"Tyler Loop",BAL,"K19","7","2 out of 5 stars","-121","-","-"
"329",12,"A.J. Dillon",PHI,"RB100","9","3 out of 5 stars","-59","-","-"
"330",12,"Tyler Conklin",LAC,"TE43","12","3 out of 5 stars","-36","-","-"
"331",12,"Ray-Ray McCloud III",ATL,"WR112","5","3 out of 5 stars","-43","-","-"
"332",12,"Samaje Perine",CIN,"RB101","10","4 out of 5 stars","-11","-","-"
"333",12,"Spencer Rattler",NO,"QB36","11","5 out of 5 stars","-49","-","-"
"334",12,"Gus Edwards",FA,"RB102","-","-","-","-1.5","36% (4/11)"
"335",12,"Josh Reynolds",NYJ,"WR113","9","4 out of 5 stars","-","-","-"
"336",12,"Demarcus Robinson",SF,"WR114","14","4 out of 5 stars","-","-0.3","31% (5/16)"
"337",12,"Tai Felton",MIN,"WR115","6","2 out of 5 stars","-","-","-"
"338",12,"Jordan Whittington",LAR,"WR116","8","3 out of 5 stars","-14","-","-"
"339",12,"Cam Akers",NO,"RB103","11","4 out of 5 stars","-","+0.6","43% (7/16)"
"340",12,"Jalen Milroe",SEA,"QB37","8","4 out of 5 stars","-65","-","-"
"341",12,"AJ Barner",SEA,"TE44","8","4 out of 5 stars","-","-","-"
"342",12,"Dawson Knox",BUF,"TE45","7","3 out of 5 stars","-","-","-"
"343",12,"Michael Mayer",LV,"TE46","8","2 out of 5 stars","-","-","-"
"344",12,"John Metchie III",HOU,"WR117","6","4 out of 5 stars","-","+0.5","33% (4/12)"
"345",12,"Noah Brown",WAS,"WR118","12","3 out of 5 stars","-15","-","-"
"346",12,"Marquez Valdes-Scantling",SEA,"WR119","8","3 out of 5 stars","-26","-","-"
"347",12,"KaVontae Turpin",DAL,"WR120","10","2 out of 5 stars","-","-","-"
"348",13,"Justin Tucker",FA,"K20","-","-","-","+0.4","50% (8/16)"
"349",13,"Troy Franklin",DEN,"WR121","12","3 out of 5 stars","-50","-","-"
"350",13,"Savion Williams",GB,"WR122","5","2 out of 5 stars","-","-","-"
"351",13,"New York Giants",NYG,"DST23","14","1 out of 5 stars","-134","-2.4","25% (4/16)"
"352",13,"Luke Musgrave",GB,"TE47","5","2 out of 5 stars","-","-","-"
"353",13,"Donovan Edwards",NYJ,"RB104","9","5 out of 5 stars","-","-","-"
"354",13,"Austin Hooper",NE,"TE48","14","3 out of 5 stars","-","-","-"
"355",13,"Kirk Cousins",ATL,"QB38","5","4 out of 5 stars","-82","-1.8","18% (3/16)"
"356",13,"LeQuint Allen Jr.",JAC,"RB105","8","2 out of 5 stars","-","-","-"
"357",13,"Jameis Winston",NYG,"QB39","14","1 out of 5 stars","-67","+2.9","60% (6/10)"
"358",13,"Curtis Samuel",BUF,"WR123","7","3 out of 5 stars","-","-","-"
"359",13,"Jake Moody",SF,"K21","14","5 out of 5 stars","-100","+0.5","38% (5/13)"
"360",13,"Washington Commanders",WAS,"DST24","12","4 out of 5 stars","-161","-3.1","12% (2/16)"
"361",13,"Isaiah Bond",FA,"WR124","-","-","-","-","-"
"362",13,"Mack Hollins",NE,"WR125","14","3 out of 5 stars","-","-","-"
"363",13,"Emari Demercado",ARI,"RB106","8","3 out of 5 stars","-","-","-"
"364",13,"Dillon Gabriel",CLE,"QB40","9","2 out of 5 stars","-","-","-"
"365",13,"Cam Little",JAC,"K22","8","5 out of 5 stars","-159","+0.1","43% (7/16)"
"366",13,"Brandon McManus",GB,"K23","5","3 out of 5 stars","-136","+0.7","50% (5/10)"
"367",13,"Tank Dell",HOU,"WR126","6","4 out of 5 stars","-","-2.0","28% (4/14)"
"368",13,"Chimere Dike",TEN,"WR127","10","4 out of 5 stars","-","-","-"
"369",13,"Jaylin Lane",WAS,"WR128","12","3 out of 5 stars","-32","-","-"
"370",13,"KeAndre Lambert-Smith",LAC,"WR129","12","3 out of 5 stars","-43","-","-"
"371",13,"Kalel Mullings",TEN,"RB107","10","2 out of 5 stars","-","-","-"
"372",13,"Luke Schoonmaker",DAL,"TE49","10","2 out of 5 stars","-","-","-"
"373",13,"Gunnar Helm",TEN,"TE50","10","3 out of 5 stars","-","-","-"
"374",13,"Greg Dortch",ARI,"WR130","8","4 out of 5 stars","-","-","-"
"375",13,"Eddy Pineiro",FA,"K24","-","-","-","-0.7","31% (5/16)"
"376",13,"Allen Lazard",NYJ,"WR131","9","4 out of 5 stars","-","-","-"
"377",13,"Tommy Tremble",CAR,"TE51","14","4 out of 5 stars","-","-","-"
"378",13,"Kenny Pickett",CLE,"QB41","9","2 out of 5 stars","-","-","-"
"379",13,"Trey Sermon",PIT,"RB108","5","4 out of 5 stars","-","-0.6","37% (6/16)"
"380",13,"Antwane Wells Jr.",NYG,"WR132","14","2 out of 5 stars","-","-","-"
"381",13,"Robert Woods",PIT,"WR133","5","4 out of 5 stars","-","-","-"
"382",13,"Theo Wease Jr.",MIA,"WR134","12","3 out of 5 stars","-","-","-"
"383",13,"Foster Moreau",NO,"TE52","11","3 out of 5 stars","-","-","-"
"384",13,"Matt Prater",FA,"K25","-","-","-","+1.3","75% (3/4)"
"385",13,"Tyrod Taylor",NYJ,"QB42","9","5 out of 5 stars","-","-","-"
"386",13,"Indianapolis Colts",IND,"DST25","11","4 out of 5 stars","-74","-3.6","18% (3/16)"
"387",13,"Van Jefferson",TEN,"WR135","10","4 out of 5 stars","-","-","-"
"388",13,"Craig Reynolds",DET,"RB109","8","2 out of 5 stars","-","-","-"
"389",13,"Jahan Dotson",PHI,"WR136","9","3 out of 5 stars","-","-","-"
"390",13,"Ja'Quinden Jackson",JAC,"RB110","8","2 out of 5 stars","-","-","-"
"391",13,"Jacob Cowing",SF,"WR137","14","4 out of 5 stars","-","-","-"
"392",13,"Olamide Zaccheaus",CHI,"WR138","5","2 out of 5 stars","-","-","-"
"393",13,"Hunter Renfrow",CAR,"WR139","14","4 out of 5 stars","-","-","-"
"394",13,"Atlanta Falcons",ATL,"DST26","5","3 out of 5 stars","-59","-2.5","18% (3/16)"
"395",13,"Kendrick Bourne",NE,"WR140","14","3 out of 5 stars","-","-","-"
"396",13,"Cade Stover",HOU,"TE53","6","3 out of 5 stars","-","-","-"
"397",13,"Jalin Hyatt",NYG,"WR141","14","2 out of 5 stars","-","-","-"
"398",13,"Kyle Juszczyk",SF,"RB111","14","3 out of 5 stars","-","-","-"
"399",13,"Blake Grupe",NO,"K26","11","5 out of 5 stars","-","+0.1","50% (8/16)"
"400",13,"Aidan O'Connell",LV,"QB43","8","3 out of 5 stars","-","-1.7","28% (2/7)"
"401",13,"Zay Jones",ARI,"WR142","8","4 out of 5 stars","-","-","-"
"402",13,"Josh Oliver",MIN,"TE54","6","3 out of 5 stars","-","-","-"
"403",13,"Jeremy Ruckert",NYJ,"TE55","9","3 out of 5 stars","-","-","-"
"404",13,"Cincinnati Bengals",CIN,"DST27","10","2 out of 5 stars","-152","-4.0","25% (4/16)"
"405",13,"Greg Dulcich",NYG,"TE56","14","2 out of 5 stars","-","-","-"
"406",13,"JuJu Smith-Schuster",KC,"WR143","10","3 out of 5 stars","-","-","-"
"407",13,"Joe Milton III",DAL,"QB44","10","2 out of 5 stars","-","-","-"
"408",13,"Clyde Edwards-Helaire",NO,"RB112","11","4 out of 5 stars","-","-","-"
"409",13,"Grant Calcaterra",PHI,"TE57","9","3 out of 5 stars","-","-","-"
"410",13,"Jimmy Garoppolo",LAR,"QB45","8","3 out of 5 stars","-","-","-"
"411",13,"Chad Ryland",ARI,"K27","8","3 out of 5 stars","-","-","-"
"412",14,"KhaDarel Hodge",ATL,"WR144","5","3 out of 5 stars","-","-","-"
"413",14,"Mason Rudolph",PIT,"QB46","5","4 out of 5 stars","-","-","-"
"414",14,"Jonathan Mingo",DAL,"WR145","10","2 out of 5 stars","-","-","-"
"415",14,"New Orleans Saints",NO,"DST28","11","4 out of 5 stars","-99","-1.1","37% (6/16)"
"416",14,"Jonathon Brooks",CAR,"RB113","14","3 out of 5 stars","-","-2.8","33% (1/3)"
"417",14,"Sam Howell",MIN,"QB47","6","2 out of 5 stars","-","-","-"
"418",14,"Elijah Higgins",ARI,"TE58","8","5 out of 5 stars","-","-","-"
"419",14,"Las Vegas Raiders",LV,"DST29","8","4 out of 5 stars","-105","-2.0","31% (5/16)"
"420",14,"Stone Smartt",NYJ,"TE59","9","3 out of 5 stars","-","-","-"
"421",14,"Malik Willis",GB,"QB48","5","2 out of 5 stars","-","-","-"
"422",14,"Julian Hill",MIA,"TE60","12","3 out of 5 stars","-","-","-"
"423",14,"Cairo Santos",CHI,"K28","5","1 out of 5 stars","-","-0.8","31% (5/16)"
"424",14,"Devontez Walker",BAL,"WR146","7","3 out of 5 stars","-","-","-"
"425",14,"Malachi Corley",NYJ,"WR147","9","4 out of 5 stars","-","-","-"
"426",14,"Jake Browning",CIN,"QB49","10","2 out of 5 stars","-","-","-"
"427",14,"Arian Smith",NYJ,"WR148","9","4 out of 5 stars","-","-","-"
"428",14,"Marcus Mariota",WAS,"QB50","12","2 out of 5 stars","-","-","-"
"429",14,"Jeremy McNichols",WAS,"RB114","12","2 out of 5 stars","-","-","-"
"430",14,"Jacksonville Jaguars",JAC,"DST30","8","4 out of 5 stars","-115","-2.4","25% (4/16)"
"431",14,"D'Ernest Johnson",BAL,"RB115","7","4 out of 5 stars","-","-0.2","50% (6/12)"
"432",14,"Dare Ogunbowale",HOU,"RB116","6","2 out of 5 stars","-","-","-"
"433",14,"Alec Ingold",MIA,"RB117","12","4 out of 5 stars","-","-","-"
"434",14,"Ja'Lynn Polk",NE,"WR149","14","3 out of 5 stars","-","-","-"
"435",14,"Pierre Strong Jr.",CLE,"RB118","9","4 out of 5 stars","-","-","-"
"436",14,"Gardner Minshew II",KC,"QB51","10","3 out of 5 stars","-","-","-"
"437",14,"Zach Wilson",MIA,"QB52","12","5 out of 5 stars","-","-","-"
"438",14,"Tyler Goodson",IND,"RB119","11","2 out of 5 stars","-","-","-"
"439",14,"Michael Gallup",WAS,"WR150","12","3 out of 5 stars","-","-","-"
"440",14,"Mac Jones",SF,"QB53","14","4 out of 5 stars","-","-","-"
"441",14,"Darnell Washington",PIT,"TE61","5","3 out of 5 stars","-","-","-"
"442",14,"Mitchell Evans",CAR,"TE62","14","4 out of 5 stars","-","-","-"
"443",14,"Graham Gano",NYG,"K29","14","0 out of 5 stars","-","-1.3","33% (3/9)"
"444",14,"Deshaun Watson",CLE,"QB54","9","2 out of 5 stars","-","-","-"
"445",14,"Tennessee Titans",TEN,"DST31","10","5 out of 5 stars","-162","-3.4","25% (4/16)"
"446",14,"Kalif Raymond",DET,"WR151","8","3 out of 5 stars","-","-","-"
"447",14,"Marcus Yarns",NO,"RB120","11","4 out of 5 stars","-","-","-"
"448",14,"Carolina Panthers",CAR,"DST32","14","3 out of 5 stars","-","-4.1","6% (1/16)"
"449",14,"Nick Folk",NYJ,"K30","9","2 out of 5 stars","-","+0.6","35% (5/14)"
"450",14,"Tyler Badie",DEN,"RB121","12","2 out of 5 stars","-","-","-"
"451",14,"Cooper Rush",BAL,"QB55","7","3 out of 5 stars","-","-","-"
"452",14,"Adam Trautman",DEN,"TE63","12","3 out of 5 stars","-","-","-"
"453",14,"Jamari Thrash",CLE,"WR152","9","2 out of 5 stars","-","-","-"
"454",14,"Chris Tyree",NO,"RB122","11","4 out of 5 stars","-","-","-"
"455",14,"K.J. Osborn",WAS,"WR153","12","3 out of 5 stars","-","-","-"
"456",14,"Luke Lachey",HOU,"TE64","6","3 out of 5 stars","-","-","-"
"457",14,"Julius Chestnut",TEN,"RB123","10","2 out of 5 stars","-","-","-"
"458",14,"Josh Whyle",TEN,"TE65","10","3 out of 5 stars","-","-","-"
"459",14,"Andy Dalton",CAR,"QB56","14","3 out of 5 stars","-","-","-"
"460",14,"John Bates",WAS,"TE66","12","3 out of 5 stars","-","-","-"
"461",14,"Jake Bobo",SEA,"WR154","8","3 out of 5 stars","-","-","-"
"462",14,"Jacoby Brissett",ARI,"QB57","8","4 out of 5 stars","-","-","-"
"463",14,"Taylor Heinicke",LAC,"QB58","12","3 out of 5 stars","-","-","-"
"464",14,"Kyle Trask",TB,"QB59","9","2 out of 5 stars","-","-","-"
"465",14,"Joey Slye",TEN,"K31","10","3 out of 5 stars","-","-","-"
"466",14,"Javon Baker",NE,"WR155","14","3 out of 5 stars","-","-","-"
"467",14,"Will Howard",PIT,"QB60","5","4 out of 5 stars","-","-","-"
"468",14,"Jarrett Stidham",DEN,"QB61","12","4 out of 5 stars","-","-","-"
"469",14,"David Bell",CLE,"WR156","9","2 out of 5 stars","-","-","-"
"470",14,"Mitchell Trubisky",BUF,"QB62","7","4 out of 5 stars","-","-","-"
"471",14,"Spencer Shrader",IND,"K32","11","5 out of 5 stars","-","-","-"
"472",14,"Jordan Watkins",SF,"WR157","14","4 out of 5 stars","-","-","-"
"473",14,"Michael Carter",ARI,"RB124","8","3 out of 5 stars","-","-","-"
"474",14,"Cordarrelle Patterson",FA,"RB125","-","-","-","-","-"
"475",14,"Sione Vaki",DET,"RB126","8","2 out of 5 stars","-","-","-"
"476",14,"Jelani Woods",IND,"TE67","11","3 out of 5 stars","-","-","-"
"477",14,"Tanner Hudson",CIN,"TE68","10","2 out of 5 stars","-","-","-"
"478",14,"Johnny Mundt",JAC,"TE69","8","3 out of 5 stars","-","-","-"
"479",14,"Jake Haener",NO,"QB63","11","5 out of 5 stars","-","-","-"
"480",14,"Treylon Burks",TEN,"WR158","10","4 out of 5 stars","-","-","-"
"481",14,"Tyler Johnson",NYJ,"WR159","9","4 out of 5 stars","-","-","-"
"482",14,"Cedrick Wilson Jr.",NO,"WR160","11","4 out of 5 stars","-","-","-"
"483",14,"Tanner McKee",PHI,"QB64","9","3 out of 5 stars","-","-","-"
"484",14,"Kaden Prather",BUF,"WR161","7","3 out of 5 stars","-","-","-"
"485",14,"Hassan Haskins",LAC,"RB127","12","2 out of 5 stars","-","-","-"
"486",15,"Bub Means",NO,"WR162","11","4 out of 5 stars","-","-","-"
"487",15,"Efton Chism III",NE,"WR163","14","3 out of 5 stars","-","-","-"
"488",15,"Nick Mullens",JAC,"QB65","8","3 out of 5 stars","-","-","-"
"489",15,"Julian Fleming",FA,"WR164","-","-","-","-","-"
"490",15,"Colby Parkinson",LAR,"TE70","8","4 out of 5 stars","-","-","-"
"491",15,"Brock Wright",DET,"TE71","8","3 out of 5 stars","-","-","-"
"492",15,"Jimmy Horn Jr.",CAR,"WR165","14","4 out of 5 stars","-","-","-"
"493",15,"DeeJay Dallas",ARI,"RB128","8","3 out of 5 stars","-","-","-"
"494",15,"Joshua Dobbs",NE,"QB66","14","5 out of 5 stars","-","-","-"
"495",15,"DJ Chark Jr.",ATL,"WR166","5","3 out of 5 stars","-","-","-"
"496",15,"Kylen Granson",PHI,"TE72","9","3 out of 5 stars","-","-","-"
"497",15,"Deuce Vaughn",DAL,"RB129","10","2 out of 5 stars","-","-","-"
"498",15,"Derius Davis",LAC,"WR167","12","3 out of 5 stars","-","-","-"
"499",15,"Drew Sample",CIN,"TE73","10","2 out of 5 stars","-","-","-"
"500",15,"Quinn Ewers",MIA,"QB67","12","5 out of 5 stars","-","-","-"
"501",15,"Charlie Woerner",ATL,"TE74","5","3 out of 5 stars","-","-","-"
"502",15,"Hunter Long",JAC,"TE75","8","3 out of 5 stars","-","-","-"
"503",15,"Payne Durham",TB,"TE76","9","3 out of 5 stars","-","-","-"
"504",15,"Daniel Bellinger",NYG,"TE77","14","2 out of 5 stars","-","-","-"
"505",15,"Darrynton Evans",BUF,"RB130","7","4 out of 5 stars","-","-","-"
"506",15,"Ricky White III",SEA,"WR168","8","3 out of 5 stars","-","-","-"
"507",15,"Brevyn Spann-Ford",DAL,"TE78","10","2 out of 5 stars","-","-","-"
"508",15,"Carson Steele",KC,"RB131","10","2 out of 5 stars","-","-","-"
"509",15,"Ian Thomas",LV,"TE79","8","2 out of 5 stars","-","-","-"
"510",15,"Durham Smythe",CHI,"TE80","5","4 out of 5 stars","-","-","-"
"511",15,"Harrison Bryant",PHI,"TE81","9","3 out of 5 stars","-","-","-"
"512",15,"Patrick Taylor Jr.",SF,"RB132","14","3 out of 5 stars","-","-","-"
"513",15,"Jared Wiley",KC,"TE82","10","3 out of 5 stars","-","-","-"
"514",15,"Michael Burton",DEN,"RB133","12","2 out of 5 stars","-","-","-"
"515",15,"Johnny Wilson",PHI,"WR169","9","3 out of 5 stars","-","-","-"
"516",15,"Mecole Hardman Jr.",GB,"WR170","5","2 out of 5 stars","-","-","-"
"517",15,"Eric Saubert",SEA,"TE83","8","4 out of 5 stars","-","-","-"
"518",15,"Luke Farrell",SF,"TE84","14","3 out of 5 stars","-","-","-"
"519",15,"Travis Homer",CHI,"RB134","5","3 out of 5 stars","-","-","-"
"520",15,"C.J. Ham",MIN,"RB135","6","3 out of 5 stars","-","-","-"
"521",15,"Hunter Luepke",DAL,"RB136","10","2 out of 5 stars","-","-","-"
"522",15,"David Moore",CAR,"WR171","14","4 out of 5 stars","-","-","-"
"523",15,"Nick Nash",ATL,"WR172","5","3 out of 5 stars","-","-","-"
"524",15,"Hendon Hooker",DET,"QB68","8","2 out of 5 stars","-","-","-"
"525",15,"Michael Woods II",FA,"WR173","-","-","-","-","-"
"526",15,"Teagan Quitoriano",ATL,"TE85","5","3 out of 5 stars","-","-","-"
"527",15,"Rasheen Ali",BAL,"RB137","7","4 out of 5 stars","-","-","-"
"528",15,"Thomas Fidone II",NYG,"TE86","14","2 out of 5 stars","-","-","-"
"529",15,"Pharaoh Brown",MIA,"TE87","12","3 out of 5 stars","-","-","-"
"530",15,"Ainias Smith",PHI,"WR174","9","3 out of 5 stars","-","-","-"
"531",15,"Patrick Ricard",BAL,"RB138","7","4 out of 5 stars","-","-","-"
"532",16,"Simi Fehoko",ARI,"WR175","8","4 out of 5 stars","-","-","-"
"533",16,"Trent Sherfield Sr.",DEN,"WR176","12","3 out of 5 stars","-","-","-"
"534",16,"Tylan Wallace",BAL,"WR177","7","3 out of 5 stars","-","-","-"
"535",16,"Tim Jones",MIN,"WR178","6","2 out of 5 stars","-","-","-"
"536",16,"Eric Gray",NYG,"RB139","14","3 out of 5 stars","-","-","-"
"537",16,"Tyson Bagent",CHI,"QB69","5","2 out of 5 stars","-","-","-"
"538",16,"Bo Melton",GB,"WR179","5","2 out of 5 stars","-","-","-"
"539",16,"Carlos Washington Jr.",ATL,"RB140","5","4 out of 5 stars","-","-","-"
"540",16,"DeAndre Carter",CLE,"WR180","9","2 out of 5 stars","-","-","-"
"541",16,"Troy Hairston II",FA,"RB141","-","-","-","-","-"
"542",16,"Jawhar Jordan",HOU,"RB142","6","2 out of 5 stars","-","-","-"
"543",16,"Ronnie Rivers",LAR,"RB143","8","3 out of 5 stars","-","-","-"
"544",16,"Velus Jones Jr.",NO,"WR181","11","4 out of 5 stars","-","-","-"
"545",16,"Israel Abanikanda",GB,"RB144","5","4 out of 5 stars","-","-","-"
"546",16,"Dylan Laube",LV,"RB145","8","2 out of 5 stars","-","-","-"
"547",16,"Frank Gore Jr.",BUF,"RB146","7","4 out of 5 stars","-","-","-"
"548",16,"Jakob Johnson",HOU,"RB147","6","2 out of 5 stars","-","-","-"